"DateTime","Cena [EUR/t]"
"23.12.2022",89.37
"27.12.2022",88.3
"28.12.2022",86.05
"29.12.2022",84.4
"30.12.2022",83.97
"02.01.2023",86.28
"03.01.2023",83.57
"04.01.2023",77.78
"05.01.2023",78.83
"06.01.2023",77.39
"09.01.2023",81.45
"10.01.2023",80.54
"11.01.2023",79
"12.01.2023",80.24
"13.01.2023",79.86
"16.01.2023",77.57
"17.01.2023",79.56
"18.01.2023",83.26
"19.01.2023",83.9
"20.01.2023",85.08
"23.01.2023",85.19
"24.01.2023",81.67
"25.01.2023",84.26
"26.01.2023",89.36
"27.01.2023",89.23
"30.01.2023",89.61
"31.01.2023",93.01
"01.02.2023",95.45
"02.02.2023",93.01
"03.02.2023",93.29
"06.02.2023",90.88
"07.02.2023",90.29
"08.02.2023",90.28
"09.02.2023",90.96
"10.02.2023",93.03
"13.02.2023",92.22
"14.02.2023",92.05
"15.02.2023",94.37
"16.02.2023",97.54
"17.02.2023",96.25
"20.02.2023",98.35
"21.02.2023",100.34
"22.02.2023",96.77
"23.02.2023",97.58
"24.02.2023",97.39
"27.02.2023",100.23
"28.02.2023",99.8
"01.03.2023",96.92
"02.03.2023",93.38
"03.03.2023",92.18
"06.03.2023",92.98
"07.03.2023",95.69
"08.03.2023",97.85
"09.03.2023",98.42
"10.03.2023",99.8
"13.03.2023",97.13
"14.03.2023",92.68
"15.03.2023",89.2
"16.03.2023",87.07
"17.03.2023",87.29
"20.03.2023",87.83
"21.03.2023",89.73
"22.03.2023",89.67
"23.03.2023",92.58
"24.03.2023",87.65
"27.03.2023",87.41
"28.03.2023",89.32
"29.03.2023",90.29
"30.03.2023",90.96
"31.03.2023",91.93
"03.04.2023",95.75
"04.04.2023",94.96
"05.04.2023",96.63
"06.04.2023",96.66
"10.04.2023",96.66
"11.04.2023",97.44
"12.04.2023",95.92
"13.04.2023",94.45
"14.04.2023",93.84
"17.04.2023",93.04
"18.04.2023",95.31
"19.04.2023",94.45
"20.04.2023",91.96
"21.04.2023",89.72
"24.04.2023",88.39
"25.04.2023",86.99
"26.04.2023",85.64
"27.04.2023",86.05
"28.04.2023",87.34
"01.05.2023",85.91
"02.05.2023",88.41
"03.05.2023",85
"04.05.2023",84.67
"05.05.2023",84.96
"08.05.2023",85.41
"09.05.2023",86.77
"10.05.2023",89.49
"11.05.2023",88.38
"12.05.2023",88.48
"15.05.2023",86.97
"16.05.2023",88.59
"17.05.2023",88.15
"18.05.2023",89.85
"19.05.2023",89.88
"22.05.2023",87.76
"23.05.2023",85.5
"24.05.2023",85.15
"25.05.2023",82.99
"26.05.2023",82.3
"29.05.2023",82.86
"30.05.2023",80.52
"31.05.2023",81.02
"01.06.2023",78.72
"02.06.2023",78.99
"05.06.2023",82.48
"06.06.2023",81.67
"07.06.2023",83.54
"08.06.2023",83.99
"09.06.2023",86.79
"12.06.2023",87.82
"13.06.2023",89.9
"14.06.2023",93.32
"15.06.2023",93.26
"16.06.2023",92.35
"19.06.2023",92.15
"20.06.2023",94.85
"21.06.2023",90.55
