Start date;End date;Total [MWh] Calculated resolutions;Photovoltaics and wind [MWh] Calculated resolutions;Wind offshore [MWh] Calculated resolutions;Wind onshore [MWh] Calculated resolutions;Photovoltaics [MWh] Calculated resolutions;Other [MWh] Calculated resolutions
Jan 1, 2023 12:00 AM;Jan 1, 2023 1:00 AM;56,100.00;39,002.75;3,478.25;35,524.50;0.00;17,097.25
Jan 1, 2023 1:00 AM;Jan 1, 2023 2:00 AM;56,301.00;38,805.75;3,390.25;35,415.50;0.00;17,495.25
Jan 1, 2023 2:00 AM;Jan 1, 2023 3:00 AM;53,753.00;38,542.25;3,395.50;35,146.75;0.00;15,210.75
Jan 1, 2023 3:00 AM;Jan 1, 2023 4:00 AM;52,794.00;37,859.25;3,410.25;34,449.00;0.00;14,934.75
Jan 1, 2023 4:00 AM;Jan 1, 2023 5:00 AM;52,020.00;37,336.50;3,431.25;33,905.25;0.00;14,683.50
Jan 1, 2023 5:00 AM;Jan 1, 2023 6:00 AM;51,299.00;36,817.00;3,454.25;33,362.75;0.00;14,482.00
Jan 1, 2023 6:00 AM;Jan 1, 2023 7:00 AM;52,741.00;36,420.75;3,464.00;32,956.75;0.00;16,320.25
Jan 1, 2023 7:00 AM;Jan 1, 2023 8:00 AM;53,535.00;35,115.75;3,475.75;31,640.00;0.00;18,419.25
Jan 1, 2023 8:00 AM;Jan 1, 2023 9:00 AM;55,742.00;34,877.50;3,484.25;30,722.75;670.50;20,864.50
Jan 1, 2023 9:00 AM;Jan 1, 2023 10:00 AM;59,296.00;37,160.50;3,486.75;29,675.00;3,998.75;22,135.50
Jan 1, 2023 10:00 AM;Jan 1, 2023 11:00 AM;62,106.00;39,619.75;3,489.25;28,228.75;7,901.75;22,486.25
Jan 1, 2023 11:00 AM;Jan 1, 2023 12:00 PM;63,447.00;40,566.00;3,497.00;26,489.75;10,579.25;22,881.00
Jan 1, 2023 12:00 PM;Jan 1, 2023 1:00 PM;62,257.00;38,953.00;3,554.25;24,292.50;11,106.25;23,304.00
Jan 1, 2023 1:00 PM;Jan 1, 2023 2:00 PM;57,175.00;34,994.25;3,566.75;22,024.25;9,403.25;22,180.75
Jan 1, 2023 2:00 PM;Jan 1, 2023 3:00 PM;53,299.00;31,428.75;5,507.75;19,926.00;5,995.00;21,870.25
Jan 1, 2023 3:00 PM;Jan 1, 2023 4:00 PM;50,046.00;26,416.75;5,690.00;18,371.50;2,355.25;23,629.25
Jan 1, 2023 4:00 PM;Jan 1, 2023 5:00 PM;48,702.00;23,637.75;5,670.75;17,697.25;269.75;25,064.25
Jan 1, 2023 5:00 PM;Jan 1, 2023 6:00 PM;50,225.00;23,367.50;5,548.75;17,818.75;0.00;26,857.50
Jan 1, 2023 6:00 PM;Jan 1, 2023 7:00 PM;51,594.00;23,794.50;5,404.50;18,390.00;0.00;27,799.50
