day;gas_price
2022-12-25;75.44
2022-12-26;72.46
2022-12-27;78.69
2022-12-28;75.91
2022-12-29;79.76
2022-12-30;75.34
2022-12-31;69.52
2023-01-01;65.24
2023-01-02;70.42
2023-01-03;72.33
2023-01-04;68.73
2023-01-05;64.49
2023-01-06;70.71
2023-01-07;67.42
2023-01-08;65.89
2023-01-09;69.92
2023-01-10;71.95
2023-01-11;67.58
2023-01-12;67.31
2023-01-13;64.66
2023-01-14;65.63
2023-01-15;66.08
2023-01-16;60.84
2023-01-17;57.73
2023-01-18;62.23
2023-01-19;63.42
2023-01-20;65.78
2023-01-21;69.4
2023-01-22;70.25
2023-01-23;68.13
2023-01-24;63.52
2023-01-25;60.67
2023-01-26;59.5
2023-01-27;56.97
2023-01-28;57.25
2023-01-29;59.16
2023-01-30;59.23
2023-01-31;60.15
2023-02-01;60.67
2023-02-02;60.37
2023-02-03;59.72
2023-02-04;61.61
2023-02-05;65.4
2023-02-06;63.47
2023-02-07;59.52
2023-02-08;57.78
2023-02-09;55.84
2023-02-10;55.97
2023-02-11;56.01
2023-02-12;54.98
2023-02-13;53.84
2023-02-14;54.14
2023-02-15;55.62
2023-02-16;54.77
2023-02-17;52.23
2023-02-18;50.49
2023-02-19;49.88
2023-02-20;51.74
2023-02-21;50.36
2023-02-22;51.46
2023-02-23;51.21
2023-02-24;53.4
2023-02-25;52.75
2023-02-26;51.86
2023-02-27;51.71
2023-02-28;49.86
2023-03-01;49.8
2023-03-02;49.74
2023-03-03;49.04
2023-03-04;47.97
2023-03-05;50.34
2023-03-06;46.61
2023-03-07;45.49
2023-03-08;45.41
2023-03-09;44.25
2023-03-10;48.06
2023-03-11;54.89
2023-03-12;52.46
2023-03-13;51.89
2023-03-14;48.88
2023-03-15;45.26
2023-03-16;44.87
2023-03-17;44.23
2023-03-18;43.04
2023-03-19;43.38
2023-03-20;42.8
2023-03-21;41.74
2023-03-22;41.39
2023-03-23;42.33
2023-03-24;43.14
2023-03-25;42.87
2023-03-26;43.18
2023-03-27;43.34
2023-03-28;44.23
2023-03-29;44.19
2023-03-30;44.11
2023-03-31;48.22
2023-04-01;48.89
2023-04-02;49.29
2023-04-03;52.28
2023-04-04;52.38
2023-04-05;51.06
2023-04-06;47.11
2023-04-07;46.71
2023-04-08;47.74
2023-04-09;45.94
2023-04-10;44.89
2023-04-11;44.76
2023-04-12;45.6
2023-04-13;45.35
2023-04-14;44.23
2023-04-15;43.58
2023-04-16;44.59
2023-04-17;44.56
2023-04-18;44.34
2023-04-19;44.12
2023-04-20;43.8
2023-04-21;42.68
2023-04-22;42.26
2023-04-23;41.95
2023-04-24;41.29
2023-04-25;42.29
2023-04-26;41.55
2023-04-27;41.01
2023-04-28;40.85
2023-04-29;40.54
2023-04-30;40.19
2023-05-01;40.51
2023-05-02;41.0
2023-05-03;39.79
2023-05-04;38.61
2023-05-05;37.58
2023-05-06;37.98
2023-05-07;38.24
2023-05-08;38.92
2023-05-09;38.89
2023-05-10;38.12
2023-05-11;37.29
2023-05-12;35.69
2023-05-13;35.41
2023-05-14;35.56
2023-05-15;34.7
2023-05-16;34.28
2023-05-17;34.56
2023-05-18;33.87
2023-05-19;31.4
2023-05-20;30.97
2023-05-21;31.29
2023-05-22;31.17
2023-05-23;31.48
2023-05-24;31.56
2023-05-25;30.09
2023-05-26;27.94
2023-05-27;26.72
2023-05-28;27.47
2023-05-29;28.67
2023-05-30;27.41
