Den;Hodina;Nákup (MWh);Prodej (MWh);"Saldo DT
(MWh)";"Export
(MWh)";"Import
(MWh)";Množství - vč. Exp a Imp (MWh);Marginální cena ČR (EUR/MWh);Marginální cena ČR (Kč/MWh);Kurz Kč/EUR (ČNB);Částka (EUR)
12/25/2022;1;488.1;4730.3;4242.2;4242.2;0;4730.3;120.28;2916.19;24.245;568960.48
12/25/2022;2;489.9;4699.1;4209.2;4209.2;0;4699.1;112.11;2718.11;24.245;526816.1
12/25/2022;3;490.9;4652.5;4161.6;4161.6;0;4652.5;106.65;2585.73;24.245;496189.13
12/25/2022;4;496.1;4520.2;4024.1;4024.1;0;4520.2;90.84;2202.42;24.245;410614.97
12/25/2022;5;835.5;4461.6;3626.1;3626.1;0;4461.6;85.7;2077.8;24.245;382359.12
12/25/2022;6;842.1;4392.4;3550.3;3550.3;0;4392.4;85.65;2076.58;24.245;376209.06
12/25/2022;7;865.8;4387.1;3521.3;3521.3;0;4387.1;85.64;2076.34;24.245;375711.24
12/25/2022;8;576.8;4221.7;3644.9;3644.9;0;4221.7;92.7;2247.51;24.245;391351.59
12/25/2022;9;548;4288.4;3740.4;3740.4;0;4288.4;110.1;2669.38;24.245;472152.84
12/25/2022;10;572.5;3958.2;3385.7;3385.7;0;3958.2;113.28;2746.47;24.245;448384.9
12/25/2022;11;559.2;3997.9;3438.7;3438.7;0;3997.9;120.16;2913.28;24.245;480387.66
12/25/2022;12;598.7;4015.9;3417.2;3417.2;0;4015.9;121.4;2943.34;24.245;487530.26
12/25/2022;13;646;3826.6;3180.6;3180.6;0;3826.6;101.2;2453.59;24.245;387251.92
12/25/2022;14;646.5;3636.3;2989.8;2989.8;0;3636.3;95.6;2317.82;24.245;347630.28
12/25/2022;15;648.8;3603.7;2954.9;2954.9;0;3603.7;92.99;2254.54;24.245;335108.06
12/25/2022;16;654.9;3770.3;3115.4;3115.4;0;3770.3;110.08;2668.89;24.245;415034.62
