germany_solar_gen_last_week;germany_wind_gen_last_week
1.25;3331.5
1.25;3263.25
1.25;3287.25
1.25;3317.75
1.25;3282.0
1.25;3207.0
1.25;3102.25
1.25;3033.5
1.25;3117.0
1.25;3133.5
1.25;3103.0
1.25;3095.75
1.25;3002.0
1.25;2989.5
1.25;2994.75
1.25;3044.75
1.25;3046.5
1.25;3049.5
1.25;3080.75
1.25;3132.0
1.25;3133.5
1.25;3185.25
1.25;3195.25
1.25;3198.75
1.25;3291.5
1.25;3406.25
1.25;3450.75
1.5;3463.5
1.25;3475.25
1.25;3558.75
1.5;3614.75
1.75;3650.25
2.75;3716.0
16.5;3799.75
80.5;3871.0
194.25;3892.75
350.0;3952.0
532.5;4056.0
719.25;4031.25
902.5;3998.75
1088.25;4027.5
1305.75;4063.25
1563.75;3994.0
1736.5;3950.0
1890.0;3904.75
1986.5;3861.75
2047.75;3724.25
2034.5;3698.5
2021.0;3704.75
1999.0;3674.25
1919.75;3652.0
1867.5;3678.5
1806.25;3616.0
1708.0;3513.5
1630.5;3511.0
1483.0;3532.0
1314.25;3496.75
1146.5;3456.25
986.5;3429.25
786.25;3486.0
594.5;3554.75
411.5;3633.25
242.75;3750.5
113.25;3829.25
35.5;3910.5
7.5;4037.25
2.25;4086.0
2.5;4179.0
1.5;4264.75
1.5;4324.25
1.25;4389.25
1.25;4461.0
1.5;4487.75
1.25;4579.0
1.25;4627.0
1.25;4665.75
1.25;4690.25
1.0;4762.25
1.0;4787.0
1.0;4850.5
1.0;4853.0
1.0;4935.75
0.75;4962.0
1.0;5027.75
0.75;5069.25
1.0;5137.5
1.0;5272.5
1.0;5305.0
1.0;5231.5
1.0;5307.0
1.0;5334.5
1.0;5330.75
1.0;5360.5
1.0;5421.25
1.0;5470.25
1.0;5381.0
1.0;5268.5
1.0;5331.75
1.25;5300.25
1.25;5317.0
1.25;5260.5
1.25;5295.5
1.25;5320.25
1.25;5422.0
1.25;5483.0
1.5;5513.75
1.25;5559.75
1.25;5602.5
1.0;5663.5
1.0;5719.75
1.0;5737.5
1.0;5752.25
1.0;5927.75
1.0;6027.25
1.0;6057.25
1.0;6018.25
1.0;6128.25
1.0;6202.0
1.0;6354.0
1.0;6459.5
1.0;6607.5
1.0;6700.5
1.0;6802.75
1.0;7007.25
1.0;7104.75
1.25;7173.0
1.25;7288.75
1.25;7432.0
3.25;7549.75
22.75;7624.75
75.75;7604.0
136.75;7689.0
210.0;7845.25
308.5;7811.5
427.5;7845.5
539.0;7859.5
635.0;7960.75
710.75;8033.0
785.0;8109.25
836.0;8155.5
851.75;8366.5
866.75;8567.0
864.25;8572.5
863.75;8623.0
812.0;8612.25
744.5;8689.75
673.5;8709.25
622.5;8817.75
596.25;8943.25
574.75;8989.75
552.5;8995.0
516.75;8915.5
468.0;8902.5
409.75;8841.5
347.25;8799.0
283.75;8716.25
210.25;8713.25
145.25;8655.25
87.75;8583.5
42.25;8441.75
13.5;8365.0
3.25;8384.5
1.75;8344.0
1.75;8340.5
1.25;8216.0
1.25;8174.5
1.25;8216.0
1.25;8229.25
1.5;8238.5
1.5;8161.0
1.25;8147.25
1.0;8097.75
1.0;8072.75
1.0;7986.0
1.0;7903.5
1.0;7925.5
1.0;8052.25
