date;solar_baseload_last_week;solar_peakload_last_week;solar_offpeak_last_week;wind_baseload_last_week;wind_peakload_last_week;wind_offpeak_last_week
2022-12-25;6100.17;12181.5;18.83;15741.57;15930.08;15553.06
2022-12-26;2551.58;5086.08;17.08;30038.23;33278.69;26797.77
2022-12-27;8220.62;16424.33;16.92;29593.47;28728.52;30458.42
2022-12-28;5110.04;10202.83;17.25;35596.58;37202.15;33991.02
2022-12-29;5182.5;10347.83;17.17;35824.7;37721.92;33927.48
2022-12-30;8064.88;16112.25;17.5;33059.84;34403.42;31716.27
2022-12-31;5637.17;11256.0;18.33;32815.24;34281.48;31349.0
2023-01-01;7034.75;14060.92;8.58;28210.41;27203.83;29216.98
2023-01-02;5408.79;10809.33;8.25;27871.65;30235.35;25507.94
2023-01-03;7314.17;14620.42;7.92;18031.6;14089.08;21974.12
2023-01-04;2144.08;4279.08;9.08;45413.03;49136.21;41689.85
2023-01-05;3687.62;7366.67;8.58;29220.93;26040.88;32400.98
2023-01-06;4777.46;9546.25;8.67;27200.49;30775.48;23625.5
2023-01-07;7515.75;15023.08;8.42;24494.01;24133.21;24854.81
2023-01-08;3798.33;7587.92;8.75;26082.71;24273.1;27892.31
2023-01-09;4203.62;8397.83;9.42;22680.2;20968.4;24392.0
2023-01-10;4710.83;9412.92;8.75;25308.65;24053.42;26563.88
2023-01-11;3062.83;6116.67;9.0;33924.91;30218.67;37631.15
2023-01-12;3032.88;6057.08;8.67;44702.44;45620.17;43784.71
2023-01-13;5833.79;11658.83;8.75;43385.14;44083.15;42687.12
2023-01-14;4847.08;9685.08;9.08;41319.75;42987.46;39652.04
2023-01-15;4040.67;8072.33;9.0;41804.98;44076.6;39533.35
2023-01-16;8243.25;16476.33;10.17;28780.62;29217.92;28343.33
2023-01-17;9740.38;19467.25;13.5;23140.76;19635.88;26645.65
2023-01-18;5530.58;11051.75;9.42;15423.62;14218.42;16628.83
2023-01-19;5881.54;11750.08;13.0;21547.79;20318.17;22777.42
2023-01-20;3987.08;7957.75;16.42;4656.03;2730.21;6581.85
2023-01-21;2720.0;5426.83;13.17;14182.28;15624.77;12739.79
2023-01-22;1242.12;2467.25;17.0;11302.06;8984.54;13619.58
2023-01-23;2235.46;4455.0;15.92;5333.98;5011.54;5656.42
2023-01-24;2136.96;4261.08;12.83;3732.38;2928.46;4536.29
2023-01-25;1282.62;2549.08;16.17;4484.62;5653.19;3316.06
2023-01-26;1809.08;3605.92;12.25;6328.34;6372.42;6284.27
2023-01-27;2896.12;5775.08;17.17;9024.52;8319.38;9729.67
2023-01-28;4115.04;8210.25;19.83;5186.32;5454.4;4918.25
2023-01-29;5189.62;10362.67;16.58;21352.5;22600.23;20104.77
2023-01-30;5187.46;10354.75;20.17;36044.66;37330.25;34759.06
2023-01-31;4354.92;8688.92;20.92;35789.61;37839.29;33739.94
2023-02-01;4345.29;8671.83;18.75;41469.35;42292.98;40645.73
2023-02-02;4995.33;9975.08;15.58;27632.41;20295.52;34969.29
2023-02-03;3596.75;7173.5;20.0;40768.05;43030.92;38505.19
2023-02-04;12653.33;25285.83;20.83;8393.6;3538.92;13248.29
2023-02-05;7498.58;14969.08;28.08;11650.49;12996.31;10304.67
2023-02-06;8238.25;16454.67;21.83;5033.9;3833.44;6234.35
2023-02-07;22077.58;44125.33;29.83;5632.62;3675.29;7589.96
2023-02-08;25115.46;50188.92;42.0;11564.17;10680.81;12447.52
2023-02-09;22952.25;45858.67;45.83;18785.9;15765.06;21806.73
2023-02-10;17405.25;34767.5;43.0;21439.5;19979.1;22899.9
2023-02-11;8447.83;16874.08;21.58;25472.48;25662.06;25282.9
2023-02-12;9210.96;18400.25;21.67;5277.5;4332.48;6222.52
2023-02-13;13195.79;26363.5;28.08;4320.49;3248.94;5392.04
2023-02-14;15166.08;30299.0;33.17;3281.92;2423.02;4140.81
2023-02-15;18021.29;35979.5;63.08;6257.56;4870.12;7645.0
2023-02-16;17504.17;34928.42;79.92;18422.09;15172.15;21672.04
2023-02-17;5912.08;11789.0;35.17;40892.31;45244.71;36539.92
2023-02-18;7271.25;14498.92;43.58;31966.72;34009.17;29924.27
2023-02-19;11876.0;23703.83;48.17;18678.01;16169.35;21186.67
2023-02-20;18141.92;36179.42;104.42;37857.89;40824.83;34890.94
2023-02-21;17707.21;35267.5;146.92;17565.42;13841.83;21289.0
2023-02-22;19206.83;38246.92;166.75;5981.2;6472.23;5490.17
2023-02-23;8842.62;17597.25;88.0;8053.72;8257.1;7850.33
2023-02-24;8260.67;16430.5;90.83;25479.83;28695.67;22264.0
2023-02-25;12852.62;25607.67;97.58;28979.98;29041.79;28918.17
2023-02-26;16650.58;33158.33;142.83;17184.59;17148.02;17221.17
2023-02-27;20755.04;41255.42;254.67;8501.91;8079.42;8924.4
2023-02-28;29132.0;57862.25;401.75;6973.06;6646.9;7299.23
2023-03-01;31454.29;62407.42;501.17;7555.62;6904.58;8206.67
2023-03-02;27656.17;54864.92;447.42;7021.22;5116.35;8926.08
2023-03-03;19767.21;39310.42;224.0;8871.31;8092.27;9650.35
2023-03-04;13000.42;25733.33;267.5;20798.8;21436.25;20161.35
2023-03-05;10637.96;21075.33;200.58;13785.79;13582.4;13989.19
2023-03-06;11876.38;23565.25;187.5;11176.07;8546.98;13805.17
2023-03-07;14978.17;29695.83;260.5;29586.83;29463.77;29709.9
2023-03-08;7582.08;14898.5;265.67;9288.08;6873.17;11703.0
2023-03-09;12092.21;23976.58;207.83;11788.08;9776.04;13800.12
2023-03-10;12634.96;24980.67;289.25;25940.39;25009.08;26871.69
2023-03-11;19839.42;39257.33;421.5;19332.26;15622.29;23042.23
2023-03-12;13869.46;27117.5;621.42;20187.79;21601.92;18773.67
2023-03-13;16898.88;33564.25;233.5;39518.75;40814.0;38223.5
2023-03-14;13931.67;27357.0;506.33;35393.32;37280.44;33506.21
2023-03-15;24607.58;48352.92;862.25;17354.85;16342.44;18367.27
2023-03-16;34665.0;67938.17;1391.83;22542.11;22049.9;23034.33
2023-03-17;29708.54;58003.25;1413.83;20073.97;14614.02;25533.92
2023-03-18;31225.92;61371.58;1080.25;8724.25;4987.4;12461.1
2023-03-19;21466.5;42207.83;725.17;7045.29;5318.92;8771.67
2023-03-20;14407.12;28215.67;598.58;10963.78;12167.1;9760.46
2023-03-21;20580.08;40246.92;913.25;12167.6;13223.58;11111.62
2023-03-22;29286.42;56944.33;1628.5;27642.88;28000.29;27285.46
2023-03-23;15481.54;30328.08;635.0;30132.6;28282.71;31982.5
2023-03-24;16488.88;32397.58;580.17;32479.15;30534.1;34424.19
2023-03-25;23643.33;46053.08;1233.58;33746.03;32268.0;35224.06
2023-03-26;18517.17;35323.42;183.09;19668.6;14988.12;24774.57
2023-03-27;30255.17;60300.25;210.08;25239.33;24530.02;25948.65
2023-03-28;34274.88;68276.42;273.33;14927.19;10165.31;19689.06
